goal,state,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18,c_19,c_20,c_21,c_22,c_23,c_24,c_25,c_26,c_27,c_28,c_29,c_30,c_31,c_32,c_33,c_34
2000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.07,0.00,0.00,0.00,0.06,0.07,0.00,0.00,0.05,0.00,0.07,0.05,0.00,0.00,0.07,0.00,0.06,0.06,0.05,0.00,0.00,0.00
600,successful,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.05,0.00,0.00,0.02,0.00,0.00,0.04,0.00,0.00,0.03,0.07,0.00,0.03,0.04,0.03,0.00,0.00,0.00
1000,failed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.04,0.03,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.00,0.04,0.00,0.04,0.04,0.04,0.00,0.00,0.00
10000,failed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.00,0.05,0.06,0.00,0.00,0.00,0.05,0.05,0.05,0.00,0.00,0.06,0.04,0.05,0.00,0.05,0.05,0.00,0.05,0.05,0.05,0.00,0.00,0.00
3500,successful,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.06,0.07,0.07,0.08,0.08,0.00,0.06,0.08,0.06,0.00,0.00,0.05,0.00,0.00,0.05,0.06,0.08,0.00,0.06,0.07,0.07,0.08,0.05,0.00
7525,successful,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.09,0.00,0.00,0.00,0.00,0.09,0.08,0.09,0.00,0.00,0.10,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.10,0.09,0.09,0.00,0.00
5000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.08,0.05,0.04,0.00,0.00,0.00,0.00,0.06,0.08,0.00,0.00,0.06,0.08,0.05,0.04,0.04,0.00,0.00,0.06,0.06,0.00,0.06,0.00
5000,successful,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.06,0.06,0.06,0.06,0.07,0.00,0.00,0.06,0.06,0.06,0.06,0.00,0.07,0.06,0.00,0.06,0.06,0.06,0.07,0.06,0.06,0.06,0.00,0.00,0.00
1500,successful,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.07,0.00,0.00,0.10,0.00,0.00,0.08,0.00,0.00,0.08,0.09,0.08,0.07,0.00,0.00
43500,failed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.04,0.00,0.00,0.07,0.07,0.05,0.00,0.04,0.00,0.04,0.00,0.07,0.07,0.00,0.00,0.06,0.06,0.07,0.07,0.06,0.00
400,failed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.07,0.00,0.06,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.07,0.04,0.00,0.00,0.03,0.00,0.04,0.00,0.00,0.00
1011,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.04,0.03,0.04,0.00,0.00,0.02,0.03,0.03,0.00,0.00,0.04,0.00,0.02,0.00,0.03,0.00,0.02,0.03,0.03,0.03,0.04,0.04,0.03
700,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.08,0.07,0.09,0.09,0.07,0.09,0.00,0.00,0.07,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.06,0.07,0.00,0.08,0.07,0.07,0.00,0.00,0.00
3000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.04,0.04,0.00,0.04,0.04,0.04,0.05,0.00,0.04,0.00,0.04,0.03,0.04,0.04,0.04,0.04,0.00,0.05,0.04,0.04,0.00,0.00,0.00
50000,successful,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.00,0.00,0.06,0.00,0.05,0.07,0.00,0.05,0.00,0.06,0.06,0.00,0.05,0.04,0.06,0.06,0.06,0.00,0.07,0.00
17500,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.03,0.00,0.00,0.03,0.02,0.02,0.00,0.00,0.02,0.03,0.00,0.00,0.00,0.03,0.02,0.03,0.02,0.03,0.00,0.00,0.00
10000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.08,0.00,0.00,0.00,0.08,0.05,0.00,0.00,0.00,0.09,0.00,0.03,0.09,0.00,0.09,0.00,0.09,0.03,0.06,0.00,0.00,0.00
8000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.06,0.07,0.00,0.06,0.06,0.00,0.00,0.07,0.07,0.07,0.06,0.06,0.07,0.07,0.07,0.06,0.06,0.07,0.07,0.00,0.07,0.07,0.07,0.05,0.06,0.00
3960,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,0.05,0.06,0.00,0.05,0.00,0.00,0.00,0.06,0.05,0.00,0.05,0.05,0.06,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.00,0.05,0.00
4000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.05,0.04,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.05,0.00,0.00,0.00
3500,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.04,0.05,0.00,0.05,0.00,0.00,0.06,0.07,0.00,0.00,0.00
1200,successful,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.09,0.00,0.09,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.06,0.10,0.00,0.08,0.08,0.09,0.09,0.08,0.08,0.00,0.09,0.00
1500,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.04,0.00,0.00,0.00,0.00,0.05,0.06,0.05,0.00,0.07,0.05,0.06,0.07,0.06,0.00
5150,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.06,0.04,0.04,0.00,0.07,0.00,0.07,0.00,0.09,0.09,0.07,0.00,0.00,0.00
5500,successful,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.08,0.06,0.05,0.00,0.00,0.00,0.07,0.07,0.00,0.07,0.00,0.00,0.00,0.00,0.07,0.07,0.08,0.06,0.00,0.07,0.06,0.07,0.00,0.00,0.00
4800,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.07,0.05,0.08,0.05,0.00,0.00,0.00,0.06,0.00,0.00,0.08,0.00,0.04,0.05,0.06,0.00,0.00,0.00
15000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.00,0.05,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.05,0.00,0.04,0.04,0.00,0.04,0.00,0.00,0.00
3500,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.06,0.07,0.00,0.05,0.00,0.00,0.06,0.08,0.04,0.05,0.00,0.05,0.00,0.07,0.06,0.04,0.09,0.00,0.06,0.08,0.07,0.05,0.00,0.00
300,successful,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.04,0.04,0.04,0.00,0.00,0.00
6000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.09,0.08,0.00,0.00,0.08,0.09,0.07,0.08,0.00,0.08,0.00,0.00,0.09,0.00,0.09,0.00,0.09,0.08,0.09,0.00,0.09,0.00
10000,failed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.09,0.08,0.00,0.00,0.00,0.08,0.08,0.09,0.09,0.08,0.09,0.08,0.09,0.00,0.08,0.07,0.08,0.00,0.08,0.08,0.08,0.00,0.07,0.00
2500,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.06,0.06,0.07,0.07,0.07,0.00,0.07,0.00,0.07,0.00,0.00,0.07,0.00,0.06,0.07,0.06,0.07,0.00,0.06,0.06,0.07,0.00,0.00,0.00
4700,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.03,0.00,0.00,0.00
2500,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08,0.08,0.08,0.08,0.08,0.00,0.08,0.08,0.08,0.08,0.08,0.00,0.08,0.00,0.09,0.08,0.08,0.00,0.07,0.08,0.08,0.08,0.00,0.08,0.08
1000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08,0.00,0.08,0.00,0.00,0.00
5000,successful,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.08,0.05,0.05,0.00,0.00,0.05,0.10,0.00,0.07,0.00,0.08,0.00,0.00,0.07,0.08,0.05,0.00,0.00
1200,successful,0.00,0.00,0.00,0.04,0.05,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.00,0.05,0.05,0.05,0.05,0.00,0.07,0.00,0.00,0.06,0.04,0.05,0.00,0.00,0.00
150,failed,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.10,0.00,0.06,0.10,0.08,0.00,0.00,0.00,0.08,0.00,0.08,0.00,0.00,0.00
3000,successful,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.06,0.08,0.06,0.08,0.00,0.00,0.06,0.04,0.08,0.00,0.00,0.09,0.00,0.06,0.00,0.05,0.06,0.00,0.08,0.04,0.06,0.00,0.00,0.00
2500,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.06,0.00,0.00,0.05,0.04,0.05,0.04,0.05,0.00,0.00
2300,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.00,0.00,0.00,0.09,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.09,0.06,0.06,0.00,0.00,0.06,0.08,0.00,0.00,0.00
1500,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.07,0.06,0.00,0.00,0.09,0.00,0.00,0.00,0.08,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.07,0.00,0.07,0.09,0.07,0.00,0.00,0.00
50000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.07,0.08,0.08,0.00,0.07,0.07,0.08,0.07,0.00,0.08,0.07,0.08,0.08,0.07,0.07,0.00,0.08,0.07,0.07,0.00,0.07,0.00
3000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.09,0.08,0.07,0.00,0.00,0.08,0.08,0.06,0.00,0.00,0.08,0.07,0.09,0.09,0.07,0.00,0.07,0.00,0.06,0.09,0.08,0.00,0.00,0.00
6000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.04,0.05,0.05,0.00,0.00,0.06,0.05,0.05,0.00,0.06,0.00,0.00,0.04,0.06,0.06,0.05,0.05,0.00,0.06,0.05,0.06,0.00,0.06,0.00
500,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.00,0.00,0.00,0.00,0.08,0.07,0.00,0.00,0.00,0.00,0.07,0.08,0.00,0.00,0.00,0.00,0.07,0.07,0.07,0.00,0.00,0.00
20000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.05,0.00,0.05,0.05,0.05,0.05,0.05,0.00,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.00,0.00
3000,successful,0.00,0.00,0.00,0.05,0.00,0.00,0.05,0.00,0.00,0.05,0.05,0.05,0.06,0.00,0.00,0.06,0.05,0.06,0.06,0.07,0.00,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.00,0.00,0.00
55000,successful,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.07,0.07,0.07,0.00,0.00,0.00,0.07,0.07,0.07,0.00,0.06,0.06,0.06,0.07,0.07,0.06,0.07,0.00,0.07,0.07,0.07,0.07,0.00,0.00
500,successful,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.08,0.07,0.08,0.08,0.07,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.07,0.08,0.07,0.00,0.08,0.06
500,successful,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.09,0.09,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.09,0.09,0.00,0.00,0.09,0.08,0.09,0.00,0.00,0.00
14000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.00,0.00,0.08,0.09,0.08,0.08,0.00,0.00,0.09,0.00,0.00,0.08,0.08,0.07,0.00,0.08,0.08,0.09,0.00,0.00,0.00
500,failed,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.04,0.06,0.00,0.04,0.00,0.05,0.00,0.00,0.00
70000,successful,0.06,0.00,0.00,0.05,0.00,0.00,0.00,0.07,0.00,0.00,0.06,0.06,0.05,0.00,0.00,0.00,0.06,0.00,0.05,0.00,0.00,0.06,0.06,0.00,0.06,0.00,0.05,0.00,0.06,0.06,0.06,0.00,0.00,0.00
7000,failed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00
5000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.06,0.00,0.00,0.08,0.00,0.00,0.07,0.06,0.04,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.07,0.06,0.00,0.00,0.00
800,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.08,0.09,0.00,0.00,0.07,0.09,0.00,0.06,0.05,0.07,0.10,0.10,0.00
3000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.03,0.00,0.00,0.00,0.02,0.03,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00
200,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.04,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.07,0.00,0.00,0.05,0.06,0.06,0.00,0.00,0.00
3000,successful,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.09,0.11,0.07,0.00,0.00,0.00,0.00,0.00,0.08,0.11,0.07,0.00,0.09,0.07,0.08,0.07,0.00,0.00
1,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.06,0.05,0.00,0.00,0.00
110,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.05,0.00,0.00,0.00,0.04,0.05,0.06,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.00,0.00,0.06,0.05,0.05,0.00,0.04,0.00
50000,successful,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.00,0.00,0.04,0.05,0.04,0.00,0.00,0.04,0.00,0.00,0.05,0.00,0.04,0.00,0.05,0.05,0.04,0.00,0.00,0.00
18500,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.03,0.02,0.03,0.03,0.02,0.00,0.00,0.03,0.02,0.00,0.00,0.03,0.03,0.03,0.02,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.00,0.02,0.00
12500,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.00,0.00,0.07,0.09,0.06,0.00,0.00,0.07,0.08,0.00,0.08,0.07,0.07,0.00,0.08,0.06,0.08,0.07,0.09,0.00
1500,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.05,0.00,0.00,0.00,0.06,0.06,0.07,0.00,0.00,0.06,0.00,0.00,0.07,0.07,0.06,0.00,0.07,0.07,0.06,0.00,0.00,0.00
100,successful,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.00,0.00,0.00,0.00,0.06,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.06,0.06,0.06,0.00,0.00,0.00
2000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.06,0.07,0.07,0.00,0.00,0.07,0.09,0.00,0.00,0.08,0.00,0.00,0.06,0.07,0.09,0.04,0.00,0.09,0.06,0.06,0.04,0.00,0.00
1000,successful,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.00,0.00,0.02,0.00,0.01,0.00,0.00,0.01,0.00,0.03,0.04,0.02,0.00,0.00,0.04,0.04,0.04,0.00,0.00,0.00
5000,failed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.06,0.00,0.05,0.00,0.06,0.07,0.06,0.00,0.00,0.00,0.06,0.06,0.06,0.00,0.00,0.00
1000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.11,0.11,0.10,0.00,0.00,0.00,0.11,0.09,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.10,0.08,0.11,0.00,0.00,0.00
6000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.08,0.00,0.00,0.08,0.09,0.00,0.09,0.10,0.00,0.00,0.09,0.09,0.09,0.00,0.09,0.00
15000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.11,0.00,0.00,0.00,0.10,0.10,0.00,0.00,0.00,0.11,0.10,0.00,0.10,0.00,0.11,0.00,0.10,0.10,0.10,0.00,0.00,0.00
4500,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.06,0.00,0.09,0.00,0.04,0.00,0.00,0.05,0.05,0.00,0.10,0.00,0.09,0.07,0.07,0.00,0.00,0.00
10000,failed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.05,0.00,0.00,0.05,0.00,0.05,0.06,0.00,0.06,0.06,0.05,0.06,0.05,0.00,0.00,0.06,0.06,0.06,0.00,0.00,0.00
25000,failed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.00,0.06,0.07,0.00,0.00,0.00,0.08,0.00,0.00,0.06,0.00,0.06,0.00,0.06,0.07,0.00,0.06,0.00,0.07,0.06,0.07,0.00,0.06,0.00
1500,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.00,0.00,0.00,0.05,0.06,0.06,0.08,0.00,0.00,0.00,0.00,0.08,0.00,0.05,0.00,0.08,0.06,0.08,0.00,0.00,0.00
1000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.08,0.07,0.08,0.00,0.00,0.06,0.08,0.06,0.07,0.00,0.00,0.07,0.00,0.08,0.05,0.05,0.00,0.09,0.06,0.07,0.00,0.00,0.00
3000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.07,0.00,0.00,0.00,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.09,0.08,0.08,0.00,0.00,0.00
5000,successful,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.00,0.00,0.00,0.09,0.08,0.09,0.10,0.00,0.09,0.10,0.00,0.10,0.08,0.09,0.09,0.09,0.09,0.09,0.08,0.00,0.00
4500,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.07,0.07,0.00,0.00,0.00,0.00,0.06,0.06,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.00,0.07,0.00,0.00,0.00
900,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.06,0.00,0.07,0.06,0.00,0.00,0.00,0.06,0.06,0.06,0.00,0.00,0.00
2700,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.00,0.07,0.00,0.00,0.06,0.00,0.07,0.06,0.00,0.00,0.00,0.06,0.00,0.00,0.06,0.00,0.06,0.06,0.06,0.00,0.00,0.00
2500,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.00,0.00,0.00,0.04,0.00,0.04,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.03,0.04,0.04,0.00
3800,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.05,0.00,0.00,0.04,0.05,0.05,0.00,0.00,0.03,0.00,0.03,0.00,0.04,0.03,0.00,0.03,0.05,0.03,0.00,0.00,0.00
4000,failed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.00,0.00,0.00,0.08,0.08,0.08,0.00,0.00,0.00,0.08,0.08,0.00,0.08,0.00,0.00,0.00,0.08,0.08,0.08,0.00,0.08,0.00
5500,successful,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.00,0.06,0.06,0.06,0.06,0.00,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.00
3000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.08,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.00,0.00,0.00,0.04,0.00,0.07,0.00,0.00,0.00,0.06,0.05,0.07,0.00,0.04,0.00
4500,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.05,0.04,0.04,0.04,0.05,0.00,0.00,0.05,0.04,0.04,0.00,0.05,0.00,0.00,0.05,0.00,0.00,0.04,0.00,0.05,0.04,0.04,0.00,0.00,0.00
800,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.00,0.00
1000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00
1350,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,0.08,0.07,0.00,0.07,0.00,0.00,0.07,0.07,0.08,0.07,0.00,0.00,0.07,0.07,0.00,0.00,0.00,0.00,0.07,0.08,0.08,0.00,0.00,0.00
5000,successful,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.00,0.00,0.00,0.05,0.04,0.07,0.05,0.00,0.04,0.04,0.06,0.04,0.00,0.00,0.05,0.03,0.06,0.04,0.00,0.00,0.00
3100,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.00,0.00,0.06,0.00,0.00,0.06,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.06,0.00,0.00,0.06,0.05,0.04,0.00,0.00
30000,failed,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.04,0.04,0.00,0.00,0.05,0.05,0.04,0.04,0.00,0.00,0.04,0.06,0.06,0.00,0.04,0.00,0.06,0.04,0.05,0.04,0.04,0.03
5000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.04,0.00,0.00,0.00,0.00,0.05,0.06,0.04,0.00,0.00,0.04,0.00,0.00,0.07,0.00,0.05,0.00,0.00,0.07,0.06,0.04,0.07,0.00
7000,successful,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.03,0.04,0.00,0.04,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.04,0.05,0.03,0.03,0.00,0.04,0.04,0.04,0.03,0.00,0.00
